design,nu,tau,target_vr,target_skew,target_kurt,b_shift_1,b_shift_2,sigma_shift_1,sigma_shift_2,n_het_pred,combo_id
CAT-3B-3B-INT,0,2.6,1,0,-0.8,0,0,0,0,0,1
CAT-3B-3B-INT,0.16,0.8,1,0.5,0.9,0,0,0,0,0,2
CAT-3B-3B-INT,0.33,0.675,1,1.33,3.3,0,0,0,0,0,3
CAT-3B-3B-INT,0,2.6,2.1,0,-0.8,0,0,0.44,0,1,4
CAT-3B-3B-INT,0.16,0.8,2.1,0.5,0.9,-0.14,0,0.44,0,1,5
CAT-3B-3B-INT,0.33,0.675,2.1,1.33,3.3,-0.42,0,0.44,0,1,6
CAT-3B-3B-INT,0,2.6,4.1,0,-0.8,0,0,1.03,0,1,7
CAT-3B-3B-INT,0.16,0.8,4.1,0.5,0.9,-0.32,0,1.03,0,1,8
CAT-3B-3B-INT,0.33,0.675,4.1,1.33,3.3,-0.98,0,1.03,0,1,9
CAT-3B-3B-INT,0,2.6,2.1,0,-0.8,0,0,0.44,0.44,2,10
CAT-3B-3B-INT,0.16,0.8,2.1,0.5,0.9,-0.14,-0.14,0.44,0.44,2,11
CAT-3B-3B-INT,0.33,0.675,2.1,1.33,3.3,-0.42,-0.42,0.44,0.44,2,12
CAT-3B-3B-INT,0,2.6,4.1,0,-0.8,0,0,1.03,1.03,2,13
CAT-3B-3B-INT,0.16,0.8,4.1,0.5,0.9,-0.32,-0.32,1.03,1.03,2,14
CAT-3B-3B-INT,0.33,0.675,4.1,1.33,3.3,-0.98,-0.98,1.03,1.03,2,15
