design,n_preds,min_bound,max_bound,target_skew,target_kurt,target_het,nu,tau,vp_val,frac,n_het_pred,het_shape,mod_fun,vp_fun,combo_id
N-NUM,6,-0.93,0.93,0,-0.8,0,0,2.6,0,1,0,vp1,,,1
N-NUM,6,-6.31,8.47,0.5,0.9,0,0.16,0.8,0,1,0,vp1,,,2
N-NUM,6,-8.36,18.34,1.33,3.3,0,0.33,0.675,0,1,0,vp1,,,3
N-NUM,6,-0.93,0.93,0,-0.8,0.4,0,3.7,0.26,1,1,vp2,mod_fun_vp23,vp23,4
N-NUM,6,-6.31,8.47,0.5,0.9,0.4,0.16,0.81,0.21,1,1,vp2,mod_fun_vp23,vp23,5
N-NUM,6,-6.31,8.47,0.5,0.9,0.9,0.19,0.92,0.6,1,1,vp2,mod_fun_vp23,vp23,6
N-NUM,6,-8.36,18.34,1.33,3.3,0.4,0.33,0.675,0.2,1,1,vp2,mod_fun_vp23,vp23,7
N-NUM,6,-8.36,18.34,1.33,3.3,0.9,0.32,0.698,0.52,1,1,vp2,mod_fun_vp23,vp23,8
N-NUM,6,-0.93,0.93,0,-0.8,0.4,0,25,0.49,2,2,vp2,mod_fun_vp23,vp23,9
N-NUM,6,-6.31,8.47,0.5,0.9,0.4,0.17,0.83,0.41,2,2,vp2,mod_fun_vp23,vp23,10
N-NUM,6,-6.31,8.47,0.5,0.9,0.9,0.22,1.06,1.04,2,2,vp2,mod_fun_vp23,vp23,11
N-NUM,6,-8.36,18.34,1.33,3.3,0.4,0.33,0.68,0.34,2,2,vp2,mod_fun_vp23,vp23,12
N-NUM,6,-8.36,18.34,1.33,3.3,0.9,0.39,0.815,1.1,2,2,vp2,mod_fun_vp23,vp23,13
N-NUM,6,-0.93,0.93,0,-0.8,-0.5,0,35,-0.434,1,1,vp3,mod_fun_vp23,vp23,14
N-NUM,6,-6.31,8.47,0.5,0.9,-0.5,0.17,0.83,-0.35,1,1,vp3,mod_fun_vp23,vp23,15
N-NUM,6,-6.31,8.47,0.5,0.9,-0.8,0.18,0.89,-0.7,1,1,vp3,mod_fun_vp23,vp23,16
N-NUM,6,-8.36,18.34,1.33,3.3,-0.5,0.31,0.681,-0.31,1,1,vp3,mod_fun_vp23,vp23,17
N-NUM,6,-8.36,18.34,1.33,3.3,-0.8,0.32,0.707,-0.59,1,1,vp3,mod_fun_vp23,vp23,18
N-NUM,6,-0.93,0.93,0,-0.8,-0.5,0,30,-1.78,5,2,vp3,mod_fun_vp23,vp23,19
N-NUM,6,-6.31,8.47,0.5,0.9,-0.5,0.21,0.92,-1.2,2,2,vp3,mod_fun_vp23,vp23,20
N-NUM,6,-6.31,8.47,0.5,0.9,-0.8,0.19,1.04,-6,2,2,vp3,mod_fun_vp23,vp23,21
N-NUM,6,-8.36,18.34,1.33,3.3,-0.5,0.33,0.705,-0.85,2,2,vp3,mod_fun_vp23,vp23,22
N-NUM,6,-8.36,18.34,1.33,3.3,-0.8,0.33,0.77,-3.3,2,2,vp3,mod_fun_vp23,vp23,23
N-NUM,6,-0.93,0.93,0,-0.8,0.4,0,6,0.94,1,1,vp4,mod_fun_vp4,vp4,24
N-NUM,6,-6.31,8.47,0.5,0.9,0.4,0.17,0.82,0.87,1,1,vp4,mod_fun_vp4,vp4,25
N-NUM,6,-6.31,8.47,0.5,0.9,0.9,0.23,0.95,2.1,1,1,vp4,mod_fun_vp4,vp4,26
N-NUM,6,-8.36,18.34,1.33,3.3,0.4,0.33,0.685,0.9,1,1,vp4,mod_fun_vp4,vp4,27
N-NUM,6,-8.36,18.34,1.33,3.3,0.9,0.38,0.74,2.03,1,1,vp4,mod_fun_vp4,vp4,28
N-NUM,6,-0.93,0.93,0,-0.8,0.4,0,21,3.4,5,2,vp4,mod_fun_vp4,vp4,29
N-NUM,6,-6.31,8.47,0.5,0.9,0.4,0.18,0.83,1.35,2,2,vp4,mod_fun_vp4,vp4,30
N-NUM,6,-6.31,8.47,0.5,0.9,0.9,0.3,1.07,3.18,2,2,vp4,mod_fun_vp4,vp4,31
N-NUM,6,-8.36,18.34,1.33,3.3,0.4,0.33,0.685,1.44,2,2,vp4,mod_fun_vp4,vp4,32
N-NUM,6,-8.36,18.34,1.33,3.3,0.9,0.46,0.8,3.2,2,2,vp4,mod_fun_vp4,vp4,33
