design,n_cont_preds,n_cat_preds,min_bound,max_bound,target_skew,target_kurt,target_het,target_vr,nu,tau,vp_val,sigma_shift,n_het_pred,het_shape,mod_fun,vp_fun,combo_id
N-NUM-CAT_INT,3,1,-0.93,0.93,0,-0.8,0,1,0,2.6,0,0,0,vp1,,,1
N-NUM-CAT_INT,3,1,-6.31,8.47,0.5,0.9,0,1,0.16,0.8,0,0,0,vp1,,,2
N-NUM-CAT_INT,3,1,-8.36,18.34,1.33,3.3,0,1,0.33,0.675,0,0,0,vp1,,,3
N-NUM-CAT_INT,3,1,-0.93,0.93,0,-0.8,0.4,1,0,3.9,0.27,0,1,vp2,mod_fun_vp23,vp23,4
N-NUM-CAT_INT,3,1,-6.31,8.47,0.5,0.9,0.4,1,0.16,0.81,0.23,0,1,vp2,mod_fun_vp23,vp23,5
N-NUM-CAT_INT,3,1,-6.31,8.47,0.5,0.9,0.9,1,0.2,0.93,0.6,0,1,vp2,mod_fun_vp23,vp23,6
N-NUM-CAT_INT,3,1,-8.36,18.34,1.33,3.3,0.4,1,0.33,0.685,0.24,0,1,vp2,mod_fun_vp23,vp23,7
N-NUM-CAT_INT,3,1,-8.36,18.34,1.33,3.3,0.9,1,0.36,0.745,0.6,0,1,vp2,mod_fun_vp23,vp23,8
N-NUM-CAT_INT,3,1,-0.93,0.93,0,-0.8,0.4,2.1,0,38,0.25,0.432,2,vp2,mod_fun_vp23,vp23,9
N-NUM-CAT_INT,3,1,-6.31,8.47,0.5,0.9,0.4,2.1,0.21,0.91,0.24,0.44,2,vp2,mod_fun_vp23,vp23,10
N-NUM-CAT_INT,3,1,-6.31,8.47,0.5,0.9,0.9,4.1,0.76,2.25,0.61,1.02,2,vp2,mod_fun_vp23,vp23,11
N-NUM-CAT_INT,3,1,-8.36,18.34,1.33,3.3,0.4,2.1,0.39,0.74,0.25,0.44,2,vp2,mod_fun_vp23,vp23,12
N-NUM-CAT_INT,3,1,-8.36,18.34,1.33,3.3,0.9,4.1,0.83,1.08,0.58,1.02,2,vp2,mod_fun_vp23,vp23,13
N-NUM-CAT_INT,3,1,-0.93,0.93,0,-0.8,-0.5,1,0,20,-0.42,0,1,vp3,mod_fun_vp23,vp23,14
N-NUM-CAT_INT,3,1,-6.31,8.47,0.5,0.9,-0.5,1,0.17,0.83,-0.34,0,1,vp3,mod_fun_vp23,vp23,15
N-NUM-CAT_INT,3,1,-6.31,8.47,0.5,0.9,-0.8,1,0.18,0.87,-0.61,0,1,vp3,mod_fun_vp23,vp23,16
N-NUM-CAT_INT,3,1,-8.36,18.34,1.33,3.3,-0.5,1,0.31,0.675,-0.3,0,1,vp3,mod_fun_vp23,vp23,17
N-NUM-CAT_INT,3,1,-8.36,18.34,1.33,3.3,-0.8,1,0.33,0.7,-0.58,0,1,vp3,mod_fun_vp23,vp23,18
N-NUM-CAT_INT,3,1,-0.93,0.93,0,-0.8,-0.5,2.1,0,38,-0.239,0.44,2,vp3,mod_fun_vp23,vp23,19
N-NUM-CAT_INT,3,1,-6.31,8.47,0.5,0.9,-0.5,2.1,0.21,0.92,-0.33,0.44,2,vp3,mod_fun_vp23,vp23,20
N-NUM-CAT_INT,3,1,-6.31,8.47,0.5,0.9,-0.8,4.1,0.46,1.44,-0.57,1.02,2,vp3,mod_fun_vp23,vp23,21
N-NUM-CAT_INT,3,1,-8.36,18.34,1.33,3.3,-0.5,2.1,0.39,0.738,-0.3,0.44,2,vp3,mod_fun_vp23,vp23,22
N-NUM-CAT_INT,3,1,-8.36,18.34,1.33,3.3,-0.8,4.1,0.66,0.96,-0.6,1.02,2,vp3,mod_fun_vp23,vp23,23
N-NUM-CAT_INT,3,1,-0.93,0.93,0,-0.8,0.4,1,0,6,0.96,-0.04,1,vp4,mod_fun_vp4,vp4,24
N-NUM-CAT_INT,3,1,-6.31,8.47,0.5,0.9,0.4,1,0.17,0.82,0.87,-0.04,1,vp4,mod_fun_vp4,vp4,25
N-NUM-CAT_INT,3,1,-6.31,8.47,0.5,0.9,0.9,1,0.23,0.951,2.1,-0.08,1,vp4,mod_fun_vp4,vp4,26
N-NUM-CAT_INT,3,1,-8.36,18.34,1.33,3.3,0.4,1,0.33,0.685,0.89,-0.04,1,vp4,mod_fun_vp4,vp4,27
N-NUM-CAT_INT,3,1,-8.36,18.34,1.33,3.3,0.9,1,0.41,0.762,2.1,-0.08,1,vp4,mod_fun_vp4,vp4,28
N-NUM-CAT_INT,3,1,-0.93,0.93,0,-0.8,0.4,2.1,0,45,0.64,0.41,2,vp4,mod_fun_vp4,vp4,29
N-NUM-CAT_INT,3,1,-6.31,8.47,0.5,0.9,0.4,2.1,0.22,0.92,0.62,0.41,2,vp4,mod_fun_vp4,vp4,30
N-NUM-CAT_INT,3,1,-6.31,8.47,0.5,0.9,0.9,4.1,1.35,1.95,1.7,0.89,2,vp4,mod_fun_vp4,vp4,31
N-NUM-CAT_INT,3,1,-8.36,18.34,1.33,3.3,0.4,2.1,0.38,0.733,0.65,0.41,2,vp4,mod_fun_vp4,vp4,32
N-NUM-CAT_INT,3,1,-8.36,18.34,1.33,3.3,0.9,4.1,1.1,1.07,1.7,0.89,2,vp4,mod_fun_vp4,vp4,33
