design,n_preds,min_bound,max_bound,target_skew,target_kurt,target_het,nu,tau,vp_val,frac,n_het_pred,het_shape,mod_fun,vp_fun,combo_id
N-NUM,3,-0.93,0.93,0,-0.8,0,0,2.6,0,1,0,vp1,,,1
N-NUM,3,-6.31,8.47,0.5,0.9,0,0.16,0.8,0,1,0,vp1,,,2
N-NUM,3,-8.36,18.34,1.33,3.3,0,0.33,0.675,0,1,0,vp1,,,3
N-NUM,3,-0.93,0.93,0,-0.8,0.4,0,5,0.26,1,1,vp2,mod_fun_vp23,vp23,4
N-NUM,3,-6.31,8.47,0.5,0.9,0.4,0.16,0.81,0.21,1,1,vp2,mod_fun_vp23,vp23,5
N-NUM,3,-6.31,8.47,0.5,0.9,0.9,0.19,0.925,0.6,1,1,vp2,mod_fun_vp23,vp23,6
N-NUM,3,-8.36,18.34,1.33,3.3,0.4,0.33,0.68,0.2,1,1,vp2,mod_fun_vp23,vp23,7
N-NUM,3,-8.36,18.34,1.33,3.3,0.9,0.34,0.721,0.52,1,1,vp2,mod_fun_vp23,vp23,8
N-NUM,3,-0.93,0.93,0,-0.8,0.4,0,25,0.47,2,2,vp2,mod_fun_vp23,vp23,9
N-NUM,3,-6.31,8.47,0.5,0.9,0.4,0.17,0.83,0.39,2,2,vp2,mod_fun_vp23,vp23,10
N-NUM,3,-6.31,8.47,0.5,0.9,0.9,0.22,1.06,1.04,2,2,vp2,mod_fun_vp23,vp23,11
N-NUM,3,-8.36,18.34,1.33,3.3,0.4,0.33,0.68,0.34,2,2,vp2,mod_fun_vp23,vp23,12
N-NUM,3,-8.36,18.34,1.33,3.3,0.9,0.42,0.8,1,2,2,vp2,mod_fun_vp23,vp23,13
N-NUM,3,-0.93,0.93,0,-0.8,-0.5,0,35,-0.434,1,1,vp3,mod_fun_vp23,vp23,14
N-NUM,3,-6.31,8.47,0.5,0.9,-0.5,0.17,0.83,-0.35,1,1,vp3,mod_fun_vp23,vp23,15
N-NUM,3,-6.31,8.47,0.5,0.9,-0.8,0.18,0.89,-0.68,1,1,vp3,mod_fun_vp23,vp23,16
N-NUM,3,-8.36,18.34,1.33,3.3,-0.5,0.31,0.681,-0.38,1,1,vp3,mod_fun_vp23,vp23,17
N-NUM,3,-8.36,18.34,1.33,3.3,-0.8,0.33,0.707,-0.61,1,1,vp3,mod_fun_vp23,vp23,18
N-NUM,3,-0.93,0.93,0,-0.8,-0.5,0,30,-1.4,5,2,vp3,mod_fun_vp23,vp23,19
N-NUM,3,-6.31,8.47,0.5,0.9,-0.5,0.21,0.9,-1,2,2,vp3,mod_fun_vp23,vp23,20
N-NUM,3,-6.31,8.47,0.5,0.9,-0.8,0.19,1.04,-4,2,2,vp3,mod_fun_vp23,vp23,21
N-NUM,3,-8.36,18.34,1.33,3.3,-0.5,0.33,0.705,-0.85,2,2,vp3,mod_fun_vp23,vp23,22
N-NUM,3,-8.36,18.34,1.33,3.3,-0.8,0.33,0.772,-3.3,2,2,vp3,mod_fun_vp23,vp23,23
N-NUM,3,-0.93,0.93,0,-0.8,0.4,0,6,0.97,1,1,vp4,mod_fun_vp4,vp4,24
N-NUM,3,-6.31,8.47,0.5,0.9,0.4,0.17,0.82,0.95,1,1,vp4,mod_fun_vp4,vp4,25
N-NUM,3,-6.31,8.47,0.5,0.9,0.9,0.23,0.95,2.1,1,1,vp4,mod_fun_vp4,vp4,26
N-NUM,3,-8.36,18.34,1.33,3.3,0.4,0.33,0.68,1,1,1,vp4,mod_fun_vp4,vp4,27
N-NUM,3,-8.36,18.34,1.33,3.3,0.9,0.39,0.741,2.1,1,1,vp4,mod_fun_vp4,vp4,28
N-NUM,3,-0.93,0.93,0,-0.8,0.4,0,21,3.4,5,2,vp4,mod_fun_vp4,vp4,29
N-NUM,3,-6.31,8.47,0.5,0.9,0.4,0.18,0.832,1.5,2,2,vp4,mod_fun_vp4,vp4,30
N-NUM,3,-6.31,8.47,0.5,0.9,0.9,0.31,1.07,3.18,2,2,vp4,mod_fun_vp4,vp4,31
N-NUM,3,-8.36,18.34,1.33,3.3,0.4,0.33,0.685,1.44,2,2,vp4,mod_fun_vp4,vp4,32
N-NUM,3,-8.36,18.34,1.33,3.3,0.9,0.46,0.795,3.2,2,2,vp4,mod_fun_vp4,vp4,33
