design,n_preds,min_bound,max_bound,target_skew,target_kurt,target_het,nu,tau,vp_val,frac,n_het_pred,het_shape,mod_fun,vp_fun,combo_id
N-NUM,2,-0.93,0.93,0,-0.8,0,0,2.6,0,1,0,vp1,,,1
N-NUM,2,-6.31,8.47,0.5,0.9,0,0.16,0.8,0,1,0,vp1,,,2
N-NUM,2,-8.36,18.34,1.33,3.3,0,0.33,0.675,0,1,0,vp1,,,3
N-NUM,2,-0.93,0.93,0,-0.8,0.4,0,5,0.26,1,1,vp2,mod_fun_vp23,vp23,4
N-NUM,2,-6.31,8.47,0.5,0.9,0.4,0.16,0.81,0.21,1,1,vp2,mod_fun_vp23,vp23,5
N-NUM,2,-6.31,8.47,0.5,0.9,0.9,0.19,0.925,0.6,1,1,vp2,mod_fun_vp23,vp23,6
N-NUM,2,-8.36,18.34,1.33,3.3,0.4,0.33,0.68,0.2,1,1,vp2,mod_fun_vp23,vp23,7
N-NUM,2,-8.36,18.34,1.33,3.3,0.9,0.35,0.74,0.6,1,1,vp2,mod_fun_vp23,vp23,8
N-NUM,2,-0.93,0.93,0,-0.8,0.4,0,25,0.47,2,2,vp2,mod_fun_vp23,vp23,9
N-NUM,2,-6.31,8.47,0.5,0.9,0.4,0.17,0.83,0.39,2,2,vp2,mod_fun_vp23,vp23,10
N-NUM,2,-6.31,8.47,0.5,0.9,0.9,0.24,1.15,1.1,2,2,vp2,mod_fun_vp23,vp23,11
N-NUM,2,-8.36,18.34,1.33,3.3,0.4,0.33,0.684,0.34,2,2,vp2,mod_fun_vp23,vp23,12
N-NUM,2,-8.36,18.34,1.33,3.3,0.9,0.42,0.82,1,2,2,vp2,mod_fun_vp23,vp23,13
N-NUM,2,-0.93,0.93,0,-0.8,-0.5,0,35,-0.434,1,1,vp3,mod_fun_vp23,vp23,14
N-NUM,2,-6.31,8.47,0.5,0.9,-0.5,0.17,0.83,-0.36,1,1,vp3,mod_fun_vp23,vp23,15
N-NUM,2,-6.31,8.47,0.5,0.9,-0.8,0.18,0.89,-0.68,1,1,vp3,mod_fun_vp23,vp23,16
N-NUM,2,-8.36,18.34,1.33,3.3,-0.5,0.31,0.682,-0.38,1,1,vp3,mod_fun_vp23,vp23,17
N-NUM,2,-8.36,18.34,1.33,3.3,-0.8,0.33,0.709,-0.62,1,1,vp3,mod_fun_vp23,vp23,18
N-NUM,2,-0.93,0.93,0,-0.8,-0.5,0,30,-1.5,5,2,vp3,mod_fun_vp23,vp23,19
N-NUM,2,-6.31,8.47,0.5,0.9,-0.5,0.21,0.89,-1,2,2,vp3,mod_fun_vp23,vp23,20
N-NUM,2,-6.31,8.47,0.5,0.9,-0.8,0.19,1.04,-4.7,2,2,vp3,mod_fun_vp23,vp23,21
N-NUM,2,-8.36,18.34,1.33,3.3,-0.5,0.33,0.705,-0.95,2,2,vp3,mod_fun_vp23,vp23,22
N-NUM,2,-8.36,18.34,1.33,3.3,-0.8,0.34,0.772,-3.3,2,2,vp3,mod_fun_vp23,vp23,23
N-NUM,2,-0.93,0.93,0,-0.8,0.4,0,6,0.97,1,1,vp4,mod_fun_vp4,vp4,24
N-NUM,2,-6.31,8.47,0.5,0.9,0.4,0.17,0.825,0.95,1,1,vp4,mod_fun_vp4,vp4,25
N-NUM,2,-6.31,8.47,0.5,0.9,0.9,0.23,0.96,2.1,1,1,vp4,mod_fun_vp4,vp4,26
N-NUM,2,-8.36,18.34,1.33,3.3,0.4,0.33,0.69,0.9,1,1,vp4,mod_fun_vp4,vp4,27
N-NUM,2,-8.36,18.34,1.33,3.3,0.9,0.42,0.77,2.1,1,1,vp4,mod_fun_vp4,vp4,28
N-NUM,2,-0.93,0.93,0,-0.8,0.4,0,21,3.4,5,2,vp4,mod_fun_vp4,vp4,29
N-NUM,2,-6.31,8.47,0.5,0.9,0.4,0.18,0.845,1.5,2,2,vp4,mod_fun_vp4,vp4,30
N-NUM,2,-6.31,8.47,0.5,0.9,0.9,0.31,1.1,3.2,2,2,vp4,mod_fun_vp4,vp4,31
N-NUM,2,-8.36,18.34,1.33,3.3,0.4,0.33,0.697,1.44,2,2,vp4,mod_fun_vp4,vp4,32
N-NUM,2,-8.36,18.34,1.33,3.3,0.9,0.55,0.85,3.2,2,2,vp4,mod_fun_vp4,vp4,33
