design,nu,tau,target_vr,target_skew,target_kurt,b_shift_1,b_shift_2,sigma_shift_1,sigma_shift_2,n_het_pred,combo_id
CAT-2W-2B-2B,0,2.6,1,0,-0.8,0,0,0,0,0,1
CAT-2W-2B-2B,0.16,0.8,1,0.5,0.9,0,0,0,0,0,2
CAT-2W-2B-2B,0.33,0.675,1,1.33,3.3,0,0,0,0,0,3
CAT-2W-2B-2B,0,2.6,2.1,0,-0.8,0,0,0.44,0,1,4
CAT-2W-2B-2B,0.16,0.8,2.1,0.5,0.9,-0.14,0,0.44,0,1,5
CAT-2W-2B-2B,0.33,0.675,2.1,1.33,3.3,-0.43,0,0.44,0,1,6
CAT-2W-2B-2B,0,2.6,4.1,0,-0.8,0,0,1.02,0,1,7
CAT-2W-2B-2B,0.16,0.8,4.1,0.5,0.9,-0.33,0,1.02,0,1,8
CAT-2W-2B-2B,0.33,0.675,4.1,1.33,3.3,-0.99,0,1.02,0,1,9
CAT-2W-2B-2B,0,2.6,2.1,0,-0.8,0,0,0.44,0.45,2,10
CAT-2W-2B-2B,0.16,0.8,2.1,0.5,0.9,-0.14,-0.15,0.44,0.45,2,11
CAT-2W-2B-2B,0.33,0.675,2.1,1.33,3.3,-0.43,-0.43,0.44,0.45,2,12
CAT-2W-2B-2B,0,2.6,4.1,0,-0.8,0,0,1.02,1.03,2,13
CAT-2W-2B-2B,0.16,0.8,4.1,0.5,0.9,-0.33,-0.33,1.02,1.03,2,14
CAT-2W-2B-2B,0.33,0.675,4.1,1.33,3.3,-0.99,-0.99,1.02,1.03,2,15
