design,min_bound,max_bound,target_skew,target_kurt,target_het,target_vr,nu,tau,vp_val,sigma_shift,n_het_pred,het_shape,mod_fun,vp_fun,combo_id
N-NUM-CAT,-0.93,0.93,0,-0.8,0,1,0,2.6,0,0,0,vp1,,,1
N-NUM-CAT,-6.31,8.47,0.5,0.9,0,1,0.16,0.8,0,0,0,vp1,,,2
N-NUM-CAT,-8.36,18.34,1.33,3.3,0,1,0.33,0.675,0,0,0,vp1,,,3
N-NUM-CAT,-0.93,0.93,0,-0.8,0.4,1,0,3.7,0.26,0,1,vp2,mod_fun_vp23,vp23,4
N-NUM-CAT,-6.31,8.47,0.5,0.9,0.4,1,0.16,0.81,0.21,0,1,vp2,mod_fun_vp23,vp23,5
N-NUM-CAT,-6.31,8.47,0.5,0.9,0.9,1,0.19,0.92,0.6,0,1,vp2,mod_fun_vp23,vp23,6
N-NUM-CAT,-8.36,18.34,1.33,3.3,0.4,1,0.33,0.675,0.2,0,1,vp2,mod_fun_vp23,vp23,7
N-NUM-CAT,-8.36,18.34,1.33,3.3,0.9,1,0.32,0.696,0.5,0,1,vp2,mod_fun_vp23,vp23,8
N-NUM-CAT,-0.93,0.93,0,-0.8,0.4,2.1,0,38,0.252,0.429,2,vp2,mod_fun_vp23,vp23,9
N-NUM-CAT,-6.31,8.47,0.5,0.9,0.4,2.1,0.2,0.9,0.21,0.44,2,vp2,mod_fun_vp23,vp23,10
N-NUM-CAT,-6.31,8.47,0.5,0.9,0.9,4.1,0.7,2.2,0.63,1.02,2,vp2,mod_fun_vp23,vp23,11
N-NUM-CAT,-8.36,18.34,1.33,3.3,0.4,2.1,0.38,0.735,0.25,0.44,2,vp2,mod_fun_vp23,vp23,12
N-NUM-CAT,-8.36,18.34,1.33,3.3,0.9,4.1,0.72,1.03,0.58,1.02,2,vp2,mod_fun_vp23,vp23,13
N-NUM-CAT,-0.93,0.93,0,-0.8,0.4,1,0,15,-0.43,0,1,vp3,mod_fun_vp23,vp23,14
N-NUM-CAT,-6.31,8.47,0.5,0.9,0.4,1,0.17,0.83,-0.35,0,1,vp3,mod_fun_vp23,vp23,15
N-NUM-CAT,-6.31,8.47,0.5,0.9,0.9,1,0.18,0.89,-0.7,0,1,vp3,mod_fun_vp23,vp23,16
N-NUM-CAT,-8.36,18.34,1.33,3.3,0.4,1,0.31,0.68,-0.3,0,1,vp3,mod_fun_vp23,vp23,17
N-NUM-CAT,-8.36,18.34,1.33,3.3,0.9,1,0.32,0.707,-0.59,0,1,vp3,mod_fun_vp23,vp23,18
N-NUM-CAT,-0.93,0.93,0,-0.8,0.4,2.1,0,38,-0.252,0.429,2,vp3,mod_fun_vp23,vp23,19
N-NUM-CAT,-6.31,8.47,0.5,0.9,0.4,2.1,0.21,0.92,-0.3,0.44,2,vp3,mod_fun_vp23,vp23,20
N-NUM-CAT,-6.31,8.47,0.5,0.9,0.9,4.1,0.42,1.36,-0.51,1.02,2,vp3,mod_fun_vp23,vp23,21
N-NUM-CAT,-8.36,18.34,1.33,3.3,0.4,2.1,0.36,0.725,-0.3,0.44,2,vp3,mod_fun_vp23,vp23,22
N-NUM-CAT,-8.36,18.34,1.33,3.3,0.9,4.1,0.58,0.91,-0.49,1.02,2,vp3,mod_fun_vp23,vp23,23
N-NUM-CAT,-0.93,0.93,0,-0.8,0.4,1,0,4.8,0.92,0,1,vp4,mod_fun_vp4,vp4,24
N-NUM-CAT,-6.31,8.47,0.5,0.9,0.4,1,0.17,0.82,0.86,0,1,vp4,mod_fun_vp4,vp4,25
N-NUM-CAT,-6.31,8.47,0.5,0.9,0.9,1,0.23,0.95,2.1,0,1,vp4,mod_fun_vp4,vp4,26
N-NUM-CAT,-8.36,18.34,1.33,3.3,0.4,1,0.33,0.685,0.9,0,1,vp4,mod_fun_vp4,vp4,27
N-NUM-CAT,-8.36,18.34,1.33,3.3,0.9,1,0.38,0.74,2.02,0,1,vp4,mod_fun_vp4,vp4,28
N-NUM-CAT,-0.93,0.93,0,-0.8,0.4,2.1,0,17,0.5,0.42,2,vp4,mod_fun_vp4,vp4,29
N-NUM-CAT,-6.31,8.47,0.5,0.9,0.4,2.1,0.21,0.9,0.37,0.42,2,vp4,mod_fun_vp4,vp4,30
N-NUM-CAT,-6.31,8.47,0.5,0.9,0.9,4.1,0.7,1.6,0.89,0.9,2,vp4,mod_fun_vp4,vp4,31
N-NUM-CAT,-8.36,18.34,1.33,3.3,0.4,2.1,0.37,0.725,0.5,0.42,2,vp4,mod_fun_vp4,vp4,32
N-NUM-CAT,-8.36,18.34,1.33,3.3,0.9,4.1,0.74,0.97,1.5,0.9,2,vp4,mod_fun_vp4,vp4,33
