design,min_bound,max_bound,target_skew,target_kurt,target_het,b_main_shift_1,b_main_shift_2,b_main_shift_3,b_int_shift_1,b_int_shift_2,b_int_shift_3,nu,tau,vp_val,frac,n_het_pred,het_shape,mod_fun,vp_fun,combo_id
3-NUM-INT,-0.93,0.93,0,-0.8,0,0,0,0.001,0.001,-0.001,0,0,2.6,0,1,0,vp1,,,1
3-NUM-INT,-6.31,8.47,0.5,0.9,0,-0.001,0,0.005,0.005,-0.006,0,0.16,0.8,0,1,0,vp1,,,2
3-NUM-INT,-8.36,18.34,1.33,3.3,0,0.001,-0.001,0.007,0.008,-0.009,0,0.33,0.675,0,1,0,vp1,,,3
3-NUM-INT,-0.93,0.93,0,-0.8,0.4,0,0,0.001,0.001,-0.001,0,0,5,0.26,1,1,vp2,mod_fun_vp23,vp23,4
3-NUM-INT,-6.31,8.47,0.5,0.9,0.4,0,0.001,0.004,0.001,-0.01,0.002,0.16,0.81,0.21,1,1,vp2,mod_fun_vp23,vp23,5
3-NUM-INT,-6.31,8.47,0.5,0.9,0.9,0,0.001,0.003,-0.007,-0.018,0.004,0.19,0.925,0.6,1,1,vp2,mod_fun_vp23,vp23,6
3-NUM-INT,-8.36,18.34,1.33,3.3,0.4,0.002,0,0.006,-0.005,-0.02,0.004,0.33,0.68,0.2,1,1,vp2,mod_fun_vp23,vp23,7
3-NUM-INT,-8.36,18.34,1.33,3.3,0.9,0.002,0.002,0.005,-0.019,-0.033,0.008,0.35,0.73,0.55,1,1,vp2,mod_fun_vp23,vp23,8
3-NUM-INT,-0.93,0.93,0,-0.8,0.4,0,0,0.001,0.001,-0.001,0,0,25,0.47,2,2,vp2,mod_fun_vp23,vp23,9
3-NUM-INT,-6.31,8.47,0.5,0.9,0.4,0,0.001,0.005,-0.005,-0.008,-0.002,0.17,0.829,0.39,2,2,vp2,mod_fun_vp23,vp23,10
3-NUM-INT,-6.31,8.47,0.5,0.9,0.9,0.001,0.002,0.004,-0.026,-0.013,-0.008,0.24,1.05,1,2,2,vp2,mod_fun_vp23,vp23,11
3-NUM-INT,-8.36,18.34,1.33,3.3,0.4,0.002,0.001,0.007,-0.017,-0.016,-0.006,0.33,0.68,0.34,2,2,vp2,mod_fun_vp23,vp23,12
3-NUM-INT,-8.36,18.34,1.33,3.3,0.9,0.003,0.004,0.005,-0.086,-0.034,-0.023,0.46,0.79,0.9,2,2,vp2,mod_fun_vp23,vp23,13
3-NUM-INT,-0.93,0.93,0,-0.8,0.4,0,0,0.001,0.001,-0.001,0,0,35,-0.434,1,1,vp3,mod_fun_vp23,vp23,14
3-NUM-INT,-6.31,8.47,0.5,0.9,0.4,-0.001,-0.001,0.005,0.011,0.003,-0.002,0.17,0.83,-0.36,1,1,vp3,mod_fun_vp23,vp23,15
3-NUM-INT,-6.31,8.47,0.5,0.9,0.9,-0.001,-0.002,0.005,0.017,0.01,-0.004,0.181,0.89,-0.67,1,1,vp3,mod_fun_vp23,vp23,16
3-NUM-INT,-8.36,18.34,1.33,3.3,0.4,0,-0.002,0.008,0.023,0.009,-0.005,0.31,0.682,-0.38,1,1,vp3,mod_fun_vp23,vp23,17
3-NUM-INT,-8.36,18.34,1.33,3.3,0.9,-0.001,-0.003,0.008,0.036,0.024,-0.009,0.33,0.708,-0.61,1,1,vp3,mod_fun_vp23,vp23,18
3-NUM-INT,-0.93,0.93,0,-0.8,0.4,-0.001,0,0.001,0.001,-0.001,0,0,30,-1.5,5,2,vp3,mod_fun_vp23,vp23,19
3-NUM-INT,-6.31,8.47,0.5,0.9,0.4,-0.002,-0.002,0.005,0.031,0.003,0.007,0.21,0.89,-1,2,2,vp3,mod_fun_vp23,vp23,20
3-NUM-INT,-6.31,8.47,0.5,0.9,0.9,-0.003,-0.004,0.005,0.049,0.008,0.013,0.2,1.05,-5,2,2,vp3,mod_fun_vp23,vp23,21
